id_penjualan,id_invoice,tanggal,id_barang,nama_barang,lini,unit,jumlah_barang,harga,subtotal,id_customer,nama_customer,cabang_sales,group_category
IN6155_BRG0007,IN6155,2021-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,10,64700,647000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0008,IN6155,2021-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,25,9800,245000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0009,IN6155,2021-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,25,31000,775000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0010,IN6155,2021-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,12,21000,252000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6144_BRG0004,IN6144,2022-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,13,24500,318500,CUST55383,"APOTEK MERDEKA",Bandung,Apotek
IN6144_BRG0007,IN6144,2022-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,13,64700,841100,CUST55383,"APOTEK MERDEKA",Bandung,Apotek
IN6144_BRG0008,IN6144,2022-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,13,9800,127400,CUST55383,"APOTEK MERDEKA",Bandung,Apotek
IN6144_BRG0009,IN6144,2022-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,13,31000,403000,CUST55383,"APOTEK MERDEKA",Bandung,Apotek
IN6144_BRG0010,IN6144,2022-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,13,21000,273000,CUST55383,"APOTEK MERDEKA",Bandung,Apotek
IN6280_BRG0001,IN6280,2023-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,2,96000,192000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0002,IN6280,2023-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,3,112000,336000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0005,IN6280,2023-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,5,47000,235000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0006,IN6280,2023-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,25,39000,975000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0007,IN6280,2023-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,10,64700,647000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0009,IN6280,2023-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,10,31000,310000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6280_BRG0010,IN6280,2023-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,10,21000,210000,CUST55384,"KLINIK SAHABAT",Tangerang,Klinik
IN6052_BRG0006,IN6052,2023-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,5,39000,195000,CUST55385,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6052_BRG0009,IN6052,2023-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,5,31000,155000,CUST55385,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6052_BRG0010,IN6052,2023-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,5,21000,105000,CUST55385,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6089_BRG0007,IN6089,2025-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,9,64700,582300,CUST55386,"APOTEK SAHABAT",Padang,Apotek
IN6251_BRG0001,IN6251,2023-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,2,96000,192000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0002,IN6251,2023-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,2,112000,224000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0003,IN6251,2023-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,12,17000,204000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0004,IN6251,2023-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,5,24500,122500,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0005,IN6251,2023-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,5,47000,235000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0006,IN6251,2023-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,5,39000,195000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0007,IN6251,2023-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,12,64700,776400,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0008,IN6251,2023-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,5,9800,49000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6251_BRG0009,IN6251,2023-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,12,31000,372000,CUST55387,"APOTEK TAPAK",Aceh,Apotek
IN6036_BRG0003,IN6036,2027-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,15,17000,255000,CUST55388,"APOTEK MAJA",Kuningan,Apotek
IN6036_BRG0004,IN6036,2027-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55388,"APOTEK MAJA",Kuningan,Apotek
IN6036_BRG0009,IN6036,2027-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,22,31000,682000,CUST55388,"APOTEK MAJA",Kuningan,Apotek
IN6036_BRG0010,IN6036,2027-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,10,21000,210000,CUST55388,"APOTEK MAJA",Kuningan,Apotek
IN6029_BRG0001,IN6029,2028-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,1,96000,96000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0003,IN6029,2028-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,5,17000,85000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0004,IN6029,2028-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,7,24500,171500,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0005,IN6029,2028-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,7,47000,329000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0006,IN6029,2028-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,7,39000,273000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0007,IN6029,2028-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,14,64700,905800,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0008,IN6029,2028-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,8,9800,78400,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0009,IN6029,2028-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,18,31000,558000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6029_BRG0010,IN6029,2028-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,20,21000,420000,CUST55389,"KLINIK GM",Jakarta,Klinik
IN6190_BRG0001,IN6190,2023-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,40,96000,3840000,CUST55390,"APOTEK MERDEKA",Bandung,Apotek
IN6287_BRG0002,IN6287,2030-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,17,112000,1904000,CUST55391,"KLINIK SAHABAT",Tangerang,Klinik
IN6287_BRG0006,IN6287,2030-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,20,39000,780000,CUST55391,"KLINIK SAHABAT",Tangerang,Klinik
IN6287_BRG0010,IN6287,2030-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,16,21000,336000,CUST55391,"KLINIK SAHABAT",Tangerang,Klinik
IN6102_BRG0003,IN6102,2031-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,11,17000,187000,CUST55392,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6102_BRG0007,IN6102,2031-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,24,64700,1552800,CUST55392,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6301_BRG0004,IN6301,2001-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55393,"APOTEK SAHABAT",Padang,Apotek
IN6301_BRG0006,IN6301,2001-02-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,12,39000,468000,CUST55393,"APOTEK SAHABAT",Padang,Apotek
IN6301_BRG0008,IN6301,2001-02-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,24,9800,235200,CUST55393,"APOTEK SAHABAT",Padang,Apotek
IN6301_BRG0009,IN6301,2001-02-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,10,31000,310000,CUST55393,"APOTEK SAHABAT",Padang,Apotek
IN6024_BRG0001,IN6024,2027-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,4,96000,384000,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0004,IN6024,2027-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0005,IN6024,2027-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000,564000,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0006,IN6024,2027-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,12,39000,468000,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0007,IN6024,2027-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,8,64700,517600,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0008,IN6024,2027-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,12,9800,117600,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6024_BRG0010,IN6024,2027-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,16,21000,336000,CUST55394,"KLINIK DR. ANDRI",Lampung,Klinik
IN6184_BRG0002,IN6184,2028-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,1,112000,112000,CUST55395,"APOTEK TAPAK",Aceh,Apotek
IN6184_BRG0003,IN6184,2028-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,12,17000,204000,CUST55395,"APOTEK TAPAK",Aceh,Apotek
IN6184_BRG0004,IN6184,2028-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,25,24500,612500,CUST55395,"APOTEK TAPAK",Aceh,Apotek
IN6184_BRG0006,IN6184,2028-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,25,39000,975000,CUST55395,"APOTEK TAPAK",Aceh,Apotek
IN6307_BRG0001,IN6307,2023-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,4,96000,384000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0002,IN6307,2023-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,4,112000,448000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0003,IN6307,2023-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,24,17000,408000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0004,IN6307,2023-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0005,IN6307,2023-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,14,47000,658000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0006,IN6307,2023-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,15,39000,585000,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6307_BRG0007,IN6307,2023-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,22,64700,1423400,CUST55396,"APOTEK MAJA",Kuningan,Apotek
IN6308_BRG0001,IN6308,2023-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,8,96000,768000,CUST55397,"KLINIK GM",Jakarta,Klinik
IN6308_BRG0006,IN6308,2023-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,10,39000,390000,CUST55397,"KLINIK GM",Jakarta,Klinik
IN6245_BRG0008,IN6245,2030-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,34,9800,333200,CUST55397,"KLINIK GM",Jakarta,Klinik
IN6195_BRG0004,IN6195,2031-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,10,24500,245000,CUST55398,"APOTEK MERDEKA",Bandung,Apotek
IN6195_BRG0007,IN6195,2031-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,10,64700,647000,CUST55398,"APOTEK MERDEKA",Bandung,Apotek
IN6195_BRG0009,IN6195,2031-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,67,31000,2077000,CUST55398,"APOTEK MERDEKA",Bandung,Apotek
IN6023_BRG0004,IN6023,2001-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,10,24500,245000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0005,IN6023,2001-02-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,10,47000,470000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0006,IN6023,2001-02-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,10,39000,390000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0007,IN6023,2001-02-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,10,64700,647000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0008,IN6023,2001-02-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,10,9800,98000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0009,IN6023,2001-02-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,67,31000,2077000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6023_BRG0010,IN6023,2001-02-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,15,21000,315000,CUST55399,"KLINIK SAHABAT",Tangerang,Klinik
IN6113_BRG0001,IN6113,2001-02-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,2,96000,192000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6113_BRG0002,IN6113,2001-02-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,2,112000,224000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6113_BRG0004,IN6113,2001-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6113_BRG0005,IN6113,2001-02-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000,564000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6259_BRG0002,IN6259,2001-02-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,25,112000,2800000,CUST55405,"APOTEK MERDEKA",Bandung,Apotek
IN6259_BRG0003,IN6259,2001-02-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,14,17000,238000,CUST55405,"APOTEK MERDEKA",Bandung,Apotek
IN6259_BRG0004,IN6259,2001-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,18,24500,441000,CUST55405,"APOTEK MERDEKA",Bandung,Apotek
IN6259_BRG0005,IN6259,2001-02-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,18,47000,846000,CUST55405,"APOTEK MERDEKA",Bandung,Apotek
IN6259_BRG0006,IN6259,2001-02-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,19,39000,741000,CUST55405,"APOTEK MERDEKA",Bandung,Apotek
IN6063_BRG0001,IN6063,2001-02-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,12,96000,1152000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0002,IN6063,2001-02-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,25,112000,2800000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0003,IN6063,2001-02-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,14,17000,238000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0004,IN6063,2001-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,21,24500,514500,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0005,IN6063,2001-02-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,24,47000,1128000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0006,IN6063,2001-02-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,10,39000,390000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0007,IN6063,2001-02-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,23,64700,1488100,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0008,IN6063,2001-02-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,12,9800,117600,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0009,IN6063,2001-02-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,10,31000,310000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6063_BRG0010,IN6063,2001-02-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,67,21000,1407000,CUST55417,"APOTEK TAPAK",Aceh,Apotek
IN6064_BRG0004,IN6064,2002-02-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,24,24500,588000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN6064_BRG0005,IN6064,2002-02-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,24,47000,1128000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN6131_BRG0009,IN6131,2028-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,10,31000,310000,CUST55418,"APOTEK MAJA",Kuningan,Apotek
IN6131_BRG0010,IN6131,2028-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,27,21000,567000,CUST55418,"APOTEK MAJA",Kuningan,Apotek
IN6028_BRG0001,IN6028,2030-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,98,96000,9408000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0002,IN6028,2030-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,5,112000,560000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0003,IN6028,2030-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,4,17000,68000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0004,IN6028,2030-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,8,24500,196000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0005,IN6028,2030-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,9,47000,423000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0006,IN6028,2030-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,10,39000,390000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0007,IN6028,2030-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,7,64700,452900,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0008,IN6028,2030-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,100,9800,980000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0009,IN6028,2030-01-22,BRG0009,"AMBROXOL HC",VNS,BOTOL,67,31000,2077000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6028_BRG0010,IN6028,2030-01-22,BRG0010,PARACETAMOL,SLCYL,BOTOL,78,21000,1638000,CUST55420,"APOTEK MERDEKA",Bandung,Apotek
IN6306_BRG0001,IN6306,2027-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,45,96000,4320000,CUST55430,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6306_BRG0004,IN6306,2027-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,45,24500,1102500,CUST55430,"APOTEK SINAR JAYA",Bekasi,Apotek
IN6306_BRG0005,IN6306,2027-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,34,47000,1598000,CUST55430,"APOTEK SINAR JAYA",Bekasi,Apotek
